,name,id,minsPlayed
0,Aaron Gordon,203932,2629
1,Aaron Holiday,1628988,645
2,Abdel Nader,1627846,695
3,Al Horford,201143,1970
4,Al-Farouq Aminu,202329,2290
5,Alan Williams,1626210,26
6,Alec Burks,202692,1379
7,Alex Abrines,203518,587
8,Alex Caruso,1627936,531
9,Alex Len,203458,1548
10,Alex Poythress,1627816,304
11,Alfonzo McKinnie,1628035,1003
12,Alize Johnson,1628993,63
13,Allen Crabbe,203459,1134
14,Allonzo Trier,1629019,1460
15,Amile Jefferson,1628518,68
16,Amir Johnson,101161,530
17,Andre Drummond,203083,2646
18,Andre Iguodala,2738,1575
19,Andre Ingram,201281,14
20,Andrew Bogut,101106,135
21,Andrew Harrison,1626150,186
22,Andrew Wiggins,203952,2540
23,Anfernee Simons,1629014,139
24,Angel Delgado,1629116,15
25,Ante Zizic,1627790,1084
26,Anthony Davis,203076,1851
27,Anthony Tolliver,201229,1081
28,Antonio Blakeney,1628469,830
29,Aron Baynes,203382,822
30,Austin Rivers,203085,2026
31,Avery Bradley,202340,1906
32,BJ Johnson,1629168,51
33,Bam Adebayo,1628389,1908
34,Ben McLemore,203463,157
35,Ben Simmons,1627732,2696
36,Billy Garrett,1628656,64
37,Bismack Biyombo,202687,784
38,Blake Griffin,201933,2619
39,Boban Marjanovic,1626246,681
40,Bobby Portis,1626171,1300
41,Bogdan Bogdanovic,203992,1948
42,Bojan Bogdanovic,202711,2571
43,Bonzie Colson,1629045,98
44,Brad Wanamaker,202954,344
45,Bradley Beal,203078,3027
46,Brandon Goodwin,1629164,57
47,Brandon Ingram,1627742,1761
48,Brandon Knight,202688,739
49,Brandon Sampson,1629102,214
50,Brook Lopez,201572,2319
51,Bruce Brown,1628971,1447
52,Bruno Caboclo,203998,800
53,Bryn Forbes,1627854,2291
54,Buddy Hield,1627741,2615
55,C.J. Williams,203710,130
56,CJ McCollum,203468,2375
57,CJ Miles,101139,856
58,Caleb Swanigan,1628403,181
59,Cameron Payne,1626166,714
60,Cameron Reynolds,1629244,258
61,Caris LeVert,1627747,1062
62,Carmelo Anthony,2546,294
63,Cedi Osman,1626224,2444
64,Chandler Hutchison,1628990,893
65,Chandler Parsons,202718,497
66,Channing Frye,101112,338
67,Chasson Randle,1626184,743
68,Cheick Diallo,1627767,894
69,Chimezie Metu,1629002,142
70,Chris Boucher,1628449,165
71,Chris Chiozza,1629185,32
72,Chris Paul,101108,1853
73,Christian Wood,1626174,250
74,Clint Capela,203991,2250
75,Cody Zeller,203469,1243
76,Collin Sexton,1629012,2611
77,Corey Brewer,201147,491
78,Cory Joseph,202709,2065
79,Courtney Lee,201584,429
80,Cristiano Felicio,1626245,745
81,D'Angelo Russell,1626156,2451
82,D.J. Augustin,201571,2269
83,D.J. Wilson,1628391,880
84,DJ Stephens,203474,7
85,Dairis Bertans,1629541,167
86,Damian Jones,1627745,411
87,Damian Lillard,203081,2837
88,Damion Lee,1627814,375
89,Damyean Dotson,1628422,2002
90,Daniel Hamilton,1627772,206
91,Daniel Theis,1628464,905
92,Danilo Gallinari,201568,2060
93,Danny Green,201980,2216
94,Dante Cunningham,201967,928
95,Dante Exum,203957,664
96,Danuel House Jr.,1627863,978
97,Dario Saric,203967,2021
98,Darius Miller,203121,1757
99,Darren Collison,201954,2145
100,Daryl Macon,1629133,89
101,David Nwaba,1628021,987
102,Davis Bertans,202722,1635
103,Davon Reed,1628432,46
104,De'Aaron Fox,1628368,2550
105,De'Anthony Melton,1629001,981
106,DeAndre Jordan,201599,2049
107,DeAndre' Bembry,1627761,1930
108,DeMar DeRozan,201942,2687
109,DeMarcus Cousins,202326,772
110,DeMarre Carroll,201960,1706
111,DeVaughn Akoon-Purcell,1629152,23
112,Deandre Ayton,1629028,2182
113,Delon Wright,1626153,1699
114,Demetrius Jackson,1627743,40
115,Deng Adel,1629061,196
116,Dennis Schroder,203471,2311
117,Dennis Smith Jr.,1628372,1507
118,Deonte Burton,1629126,239
119,Derrick Favors,202324,1770
120,Derrick Jones Jr.,1627884,1152
121,Derrick Rose,201565,1393
122,Derrick White,1628401,1729
123,Devin Booker,1626164,2241
124,Devin Harris,2734,1074
125,Devin Robinson,1628421,95
126,Devonte' Graham,1628984,679
127,Dewayne Dedmon,203473,1608
128,Deyonta Davis,1627738,117
129,Dillon Brooks,1628415,330
130,Dion Waiters,203079,1138
131,Dirk Nowitzki,1717,794
132,Domantas Sabonis,1627734,1840
133,Donatas Motiejunas,202700,13
134,Donovan Mitchell,1628378,2598
135,Donte DiVincenzo,1628978,413
136,Donte Grantham,1629055,3
137,Dorian Finney-Smith,1627827,1984
138,Doug McDermott,203926,1336
139,Dragan Bender,1627733,827
140,Draymond Green,203110,2064
141,Drew Eubanks,1629234,111
142,Duncan Robinson,1629130,161
143,Dusty Hannahs,1628605,26
144,Dwayne Bacon,1628407,761
145,Dwight Howard,2730,229
146,Dwight Powell,203939,1662
147,Dwyane Wade,2548,1885
148,Dzanan Musa,1629058,39
149,E'Twaun Moore,202734,1464
150,Ed Davis,202334,1448
151,Edmond Sumner,1628410,207
152,Ekpe Udoh,202327,319
153,Elfrid Payton,203901,1246
154,Elie Okobo,1629059,961
155,Emanuel Terry,1629150,23
156,Emmanuel Mudiay,1626144,1608
157,Enes Kanter,202683,1636
158,Eric Bledsoe,202339,2273
159,Eric Gordon,201569,2156
160,Eric Moreland,203961,42
161,Ersan Ilyasova,101141,1234
162,Evan Fournier,203095,2558
163,Evan Turner,202323,1604
164,Frank Jackson,1628402,1171
165,Frank Kaminsky,1626163,756
166,Frank Mason,1628412,436
167,Frank Ntilikina,1628373,908
168,Fred VanVleet,1627832,1757
169,Furkan Korkmaz,1627788,682
170,Garrett Temple,202066,2045
171,Gary Clark,1629109,637
172,Gary Harris,203914,1641
173,Gary Payton II,1627780,16
174,Gary Trent Jr.,1629018,111
175,George Hill,201588,1304
176,George King,1628994,6
177,Georges Niang,1627777,517
178,Gerald Green,101123,1473
179,Giannis Antetokounmpo,203507,2359
180,Glenn Robinson III,203922,608
181,Goran Dragic,201609,991
182,Gordon Hayward,202330,1867
183,Gorgui Dieng,203476,1029
184,Grayson Allen,1628960,414
185,Greg Monroe,202328,479
186,Guerschon Yabusele,1627824,254
